Date,Open,High,Low,Close,Adj Close,Volume
2019-10-10,187.279999,189.429993,187.119995,188.679993,188.679993,25177700
2019-10-11,190.830002,192.630005,190.720001,191.110001,191.110001,40976700
2019-10-14,190.839996,191.699997,190.649994,191.089996,191.089996,14975000
2019-10-15,191.679993,193.970001,191.559998,193.520004,193.520004,23234200
2019-10-16,192.860001,193.529999,192.429993,193.039993,193.039993,20457100
2019-10-17,194.199997,194.500000,192.809998,193.550003,193.550003,19045200
2019-10-18,193.199997,193.669998,190.710007,191.690002,191.690002,27700800
2019-10-21,192.710007,193.520004,192.139999,193.389999,193.389999,15801200
2019-10-22,194.149994,194.419998,191.789993,191.850006,191.850006,22392300
2019-10-23,191.460007,192.259995,191.149994,192.220001,192.220001,14828400
2019-10-24,193.589996,194.210007,192.740005,194.089996,194.089996,18998500
2019-10-25,193.070007,195.740005,193.050003,195.639999,195.639999,21465000
2019-10-28,196.550003,197.830002,196.550003,197.570007,197.570007,18818700
2019-10-29,197.300003,197.539993,196.009995,196.039993,196.039993,18551900
2019-10-30,196.429993,197.320007,195.289993,196.990005,196.990005,21714400
2019-10-31,197.520004,197.649994,195.940002,197.080002,197.080002,2674970000
2019-11-01,197.929993,198.880005,197.634995,198.869995,198.869995,20915003
